id,en,zh_CN,zh_HK
TITLE_PROJECT,Project,项目,項目
TITLE_ENGINE,Engine,引擎,引擎
TITLE_DOWNLOAD,Download,下载,下載
TITLE_SETTING,Setting,设置,設置
,,,
DIALOG_CONFIRM,,确认,
DIALOG_CANCEL,,取消,
DIALOG_CLOSE,,关闭,
,,,
PROJECT_IMPORT,Import,导入,
PROJECT_IMPORT_HINT,,导入新的项目,
PROJECT_CARD_EDITOR_HINT,,通过外部编辑器打开项目,
PROJECT_CARD_ENGINE_HINT,,通过选中版本的引擎打开项目,
PROJECT_CARD_DOTNET_HINT,,该项目是.NET项目,
PROJECT_CARD_PATH_HINT,,打开项目所在目录,
PROJECT_CARD_REMOVE_HINT,,移除项目\n*不会删除项目目录,
,,,
ENGINE_CHECK_STANDARD,Standard,标准版,
ENGINE_CHECK_DOTNET,.NET,.NET版,
ENGINE_CHECK_STABLE,Stable,稳定版,
ENGINE_CHECK_UNSTABLE,Unstable,不稳定版,
ENGINE_CARD_UNSTABLE_HINT,,不稳定版,
ENGINE_CARD_RUN_HINT,,启动引擎,
ENGINE_CARD_DELETE_HINT,,删除引擎\n*会同时删除引擎目录,
ENGINE_CARD_PATH_HINT,,打开引擎所在目录,
,,,
DOWNLOAD_CHECK_STANDARD,Standard,标准版,
DOWNLOAD_CHECK_DOTNET,.NET,.NET版,
DOWNLOAD_CHECK_STABLE,Stable,稳定版,
DOWNLOAD_CHECK_UNSTABLE,Unstable,不稳定版,
SOURCE_CARD_UNSTABLE_HINT,,不稳定版,
SOURCE_CARD_DOWNLOAD_HINT,,下载%s,
DOWNLOAD_CONFIRM_TITLE,,下载%s,
DOWNLOADER_DOWNLOAD,,下载中……,
DOWNLOADER_EXTRACT,,提取中……,
DOWNLOADER_FAIL,,失败,
DOWNLOADER_CANCEL,,已取消,
DOWNLOADER_COMPLETE,,完成,
,,,
SETTING_VERSION,Version,版本,
SETTING_VERSION_HINT,GDMan's version,GDMan的版本,
SETTING_LANGUAGE,Language,语言,
SETTING_LANGUAGE_HINT,,为auto时，会根据系统语言判断,
SETTING_ARCHITECTURE,,系统架构,
SETTING_ARCHITECTURE_HINT,,为auto时，会自动判断系统架构\n*请勿修改此项，除非你知道自己在做什么,
SETTING_DELETE_DOWNLOAD,,删除下载文件,
SETTING_DELETE_DOWNLOAD_HINT,,下载并提取引擎后，删除产生的临时文件,
SETTING_EDITOR,,外部编辑器,
SETTING_EDITOR_HINT,,选定后，可在项目页面使用该编辑器打开项目目录\n*在Windows一般是.exe，在MacOS一般是.app,
SETTING_HIDE_PATH,,隐藏路径,
SETTING_HIDE_PATH_HINT,,隐藏卡片中的路径显示\n*在悬浮时仍会显示完整路径,
SETTING_USER_PATH,,用户目录,
SETTING_USER_PATH_HINT,,GDMan在本机用户使用的目录,
